extra-care-housing-arthritis-frailty-uk|Extra-care housing, arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|extra-care housing|Northern Ireland|a middle step between home and a care home|home,socialcare,oa,falls
nursing-home-arthritis-pain-review-uk|Nursing homes and arthritis: asking for a pain and movement review (UK)|Treatment|arthritis with frailty|several joints|care home|England|pain, stiffness and still being helped to move|carehome,treatment,oa,exercise
reablement-team-arthritis-home-practice-uk|Working with a reablement team when arthritis flares at home (UK)|Exercise|arthritis with frailty|several joints|home after discharge|Wales|practising the moves that get you to the kettle|reablement,strength,ot,oa
community-ot-waiting-arthritis-frailty-uk|Waiting for community OT with arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|home|Scotland|interim kit while you wait|ot,aids,home,oa
falls-response-service-arthritis-uk|Community falls response if you live with arthritis (UK)|Health|arthritis with frailty|several joints|home|Northern Ireland|who to call if you fall and cannot get up|falls,nhs,home,oa
nine-nine-nine-vs-111-arthritis-frailty-uk|999 versus NHS 111 when arthritis, frailty and a crisis collide (UK)|Health|arthritis with frailty|several joints|home|England|urgent help without delay or embarrassment|nhs,falls,hospital,oa
gp-home-visit-arthritis-frailty-uk|Asking for a GP home visit if arthritis and frailty trap you indoors (UK)|Health|arthritis with frailty|several joints|home|Wales|when leaving the house is the barrier to care|nhs,home,oa,fatigue
paramedic-fall-lift-arthritis-uk|After paramedics lift you: arthritis pain and the next 48 hours (UK)|Health|arthritis with frailty|several joints|home|Scotland|the sore, shocked days after a lift from the floor|falls,reablement,oa,confidence
occupational-therapist-kitchen-visit-frailty-uk|An OT kitchen visit for frail arthritis (UK)|Lifestyle|arthritis with frailty|hands and shoulders|home|Northern Ireland|watching how you make a cup of tea, then changing the setup|ot,home,nutrition,oa
physiotherapy-home-visit-frail-oa-uk|Home-visit physiotherapy for frail osteoarthritis (UK)|Exercise|osteoarthritis|several joints|home|England|strength work in the rooms you actually use|physio,strength,oa,home
speech-swallowing-meals-arthritis-frailty-uk|Slow meals, sore hands and frailty: keeping eating safe (UK)|Nutrition|arthritis with frailty|hands|care home|Wales|time, positioning and dignity at meals|nutrition,carehome,ot,oa
