frailty-older-people-arthritis-wales-uk|Older people, arthritis and frailty services in Wales (UK)|Health|arthritis with frailty|several joints|GP surgery|Wales|Welsh pathways when joints and frailty overlap|cga,nhs,oa,socialcare
older-adults-arthritis-frailty-northern-ireland-uk|Arthritis and frailty support for older adults in Northern Ireland (UK)|Health|arthritis with frailty|several joints|GP surgery|Northern Ireland|nidirect, GP and community care when movement slows|cga,nhs,oa,socialcare
sarcopenia-knee-oa-frailty-overlap-uk|Sarcopenia and knee osteoarthritis: the frailty overlap (UK)|Exercise|knee osteoarthritis with sarcopenia|knees|home|England|muscle loss that makes knee osteoarthritis harder to live with|strength,oa,nutrition,falls
fear-of-falling-hip-oa-frailty-uk|Fear of falling with hip osteoarthritis and frailty (UK)|Mental Health|hip osteoarthritis|hips|home|Wales|confidence after a near-miss when hips are sore|confidence,falls,mood,oa
falls-clinic-arthritis-what-to-expect-uk|Falls clinic with arthritis: what to expect (UK)|Health|arthritis with frailty|several joints|hospital|Scotland|a falls assessment when joints already hurt|falls,cga,hospital,aids
sit-to-stand-practice-frail-arthritis-uk|Sit-to-stand practice for frail adults with arthritis (UK)|Exercise|arthritis with frailty|hips and knees|home|Northern Ireland|the most useful strength pattern when chairs feel high|strength,oa,falls,home
indoor-walking-frame-arthritis-frailty-uk|Indoor walking with a frame when arthritis and frailty overlap (UK)|Lifestyle|arthritis with frailty|several joints|home|England|frames, turning circles and sore hands|aids,falls,ot,oa
balance-painful-feet-frailty-arthritis-uk|Balance practice with painful arthritic feet (UK)|Exercise|foot osteoarthritis|feet|home|Wales|steadying yourself when every step hurts|falls,footcare,oa,strength
vision-falls-arthritis-frailty-uk|Vision, falls and arthritis in frail adults (UK)|Health|arthritis with frailty|several joints|home|Scotland|eyesight checks that also protect sore joints|vision,falls,oa,cga
continence-night-trips-arthritis-frailty-uk|Continence, night toilet trips and arthritis-related frailty (UK)|Health|arthritis with frailty|hips and knees|home|Northern Ireland|rushing to the loo when joints are stiff|continence,falls,sleep,home
night-lights-arthritis-falls-frailty-uk|Night lights, joint stiffness and frailty (UK)|Lifestyle|arthritis with frailty|several joints|home|England|lighting the path from bed to bathroom|falls,sleep,home,oa
seated-strength-frail-osteoarthritis-uk|Seated strength training for frail adults with osteoarthritis (UK)|Exercise|osteoarthritis|several joints|home|Wales|chair-based strength that still counts|strength,oa,exercise,home
chair-based-exercise-ra-frailty-uk|Chair-based exercise for rheumatoid arthritis and frailty (UK)|Exercise|rheumatoid arthritis|several joints|home|Scotland|RA-friendly seated sessions when standing is a bad day|ra,strength,exercise,fatigue
tai-chi-balance-arthritis-frailty-uk|Tai Chi for balance when arthritis and frailty overlap (UK)|Exercise|arthritis with frailty|several joints|community class|England|slow standing practice without forcing painful joints|taichi,falls,confidence,oa
hydrotherapy-frail-arthritis-uk|Hydrotherapy for frail adults with arthritis (UK)|Exercise|arthritis with frailty|several joints|hydrotherapy pool|Wales|warm water work when land exercise feels too hard|hydro,exercise,oa,fatigue
community-physio-wait-frail-arthritis-uk|Community physiotherapy waits when you are frail with arthritis (UK)|Treatment|arthritis with frailty|several joints|home|Scotland|what to do while you wait for community physio|physio,nhs,strength,oa
slow-walking-groups-arthritis-frailty-uk|Slow walking groups for arthritis and frailty (UK)|Exercise|arthritis with frailty|several joints|community class|Northern Ireland|walking with others at a pace that respects pain|exercise,confidence,oa,falls
resistance-bands-seated-frail-oa-uk|Seated resistance bands for frail osteoarthritis (UK)|Exercise|osteoarthritis|several joints|home|England|light bands without heroic gym culture|strength,oa,exercise,home
bed-exercises-hospital-arthritis-frailty-uk|Bed exercises during a hospital stay with arthritis (UK)|Exercise|arthritis with frailty|several joints|hospital|Wales|keeping a little movement going in a hospital bed|hospital,strength,oa,reablement
reablement-after-discharge-arthritis-uk|Reablement after hospital if arthritis slowed the admission (UK)|Lifestyle|arthritis with frailty|several joints|home after discharge|Scotland|short-term rehab at home after a stay|reablement,hospital,ot,oa
walking-stick-vs-frame-arthritis-frailty-uk|Walking stick versus frame: arthritis, wrists and frailty (UK)|Lifestyle|arthritis with frailty|wrists and legs|home|Northern Ireland|choosing an aid that matches joints and balance|aids,falls,ot,oa
protein-painful-joints-frailty-uk|Protein, painful joints and frailty (UK)|Nutrition|arthritis with frailty|several joints|home|England|protein foods when cooking and chewing take more effort|nutrition,strength,oa,home
mediterranean-eating-frail-osteoarthritis-uk|Mediterranean-style eating for frail osteoarthritis (UK)|Nutrition|osteoarthritis|several joints|home|Wales|simple Mediterranean plates when energy is low|nutrition,oa,home,fatigue
vitamin-d-winter-arthritis-frailty-uk|Vitamin D in winter: arthritis, bone and frailty (UK)|Nutrition|arthritis with frailty|several joints|home|Scotland|autumn and winter vitamin D without miracle claims|vitd,bone,winter,oa
appetite-loss-arthritis-frailty-uk|Appetite loss, arthritis pain and frailty (UK)|Nutrition|arthritis with frailty|several joints|home|Northern Ireland|when pain and low mood shrink meals|nutrition,mood,fatigue,oa
cooking-with-hand-oa-frailty-uk|Cooking with hand osteoarthritis when you are becoming frailer (UK)|Nutrition|hand osteoarthritis|hands|home|England|meals you can still assemble with sore hands|nutrition,ot,oa,home
meal-times-care-home-arthritis-uk|Meal times in a care home when arthritis makes eating slow (UK)|Nutrition|arthritis with frailty|hands and jaw|care home|Wales|time, seating and help at the table|nutrition,carehome,ot,oa
hydration-gout-frailty-older-adults-uk|Hydration, gout and frailty in older adults (UK)|Nutrition|gout|feet|home|Scotland|drinks that support joints without flooding the night|gout,hydration,continence,nutrition
constipation-pain-medicines-frailty-arthritis-uk|Constipation, pain medicines and frailty in arthritis (UK)|Health|arthritis with frailty|several joints|home|Northern Ireland|bowels, pain tablets and mobility|polypharmacy,continence,treatment,oa
