pip-arthritis-frailty-honest-uk|PIP, arthritis and frailty: an honest UK overview|Lifestyle|arthritis with frailty|several joints|home|England|Personal Independence Payment without guarantees|benefits,oa,fatigue,home
attendance-allowance-arthritis-frailty-uk|Attendance Allowance, arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|home|Wales|help with personal care needs in later life, honestly described|benefits,oa,socialcare,home
carers-assessment-arthritis-frailty-uk|Carer's assessments when arthritis and frailty share a home (UK)|Lifestyle|arthritis with frailty|several joints|home|Scotland|support for the person who helps you stand, wash and eat|carers,socialcare,home,oa
blue-badge-frailty-arthritis-uk|Blue Badge, frailty and arthritis: walking distance in real life (UK)|Lifestyle|arthritis with frailty|several joints|home|Northern Ireland|parking support when walking is limited, without promises|benefits,aids,oa,falls
social-care-needs-assessment-arthritis-uk|Social care needs assessments for arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|home|England|asking the council for a Care Act assessment in plain English|socialcare,home,ot,oa
depression-osteoarthritis-frailty-uk|Depression, osteoarthritis and frailty (UK)|Mental Health|osteoarthritis|several joints|home|Wales|low mood that shrinks activity and muscle|mood,oa,fatigue,confidence
loneliness-arthritis-frailty-social-contact-uk|Loneliness, arthritis and frailty: rebuilding social contact (UK)|Mental Health|arthritis with frailty|several joints|home|Scotland|isolation after walking range shrinks|mood,social,oa,confidence
sleep-arthritis-frailty-night-pain-uk|Sleep, night pain and frailty in arthritis (UK)|Mental Health|arthritis with frailty|several joints|home|Northern Ireland|broken nights that make the next day more unsteady|sleep,fatigue,oa,falls
anxiety-about-falling-arthritis-uk|Anxiety about falling when you live with arthritis (UK)|Mental Health|arthritis with frailty|several joints|home|England|worry that keeps you in the chair|confidence,falls,mood,oa
confidence-after-fall-arthritis-frailty-uk|Rebuilding confidence after a fall if you have arthritis (UK)|Mental Health|arthritis with frailty|several joints|home|Wales|the week after a fall when joints hurt more|confidence,falls,reablement,oa
hospital-stay-arthritis-frailty-what-to-pack-uk|Hospital stays with arthritis and frailty: what to pack and ask (UK)|Health|arthritis with frailty|several joints|hospital|Scotland|keeping movement, medicines and dignity in hospital|hospital,polypharmacy,oa,aids
discharge-planning-arthritis-frailty-uk|Discharge planning when arthritis and frailty delayed recovery (UK)|Health|arthritis with frailty|several joints|hospital|Northern Ireland|going home with the right kit and visits|hospital,reablement,ot,home
rural-living-arthritis-frailty-uk|Rural living with arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|rural home|England|distance, buses and bad-weather joints|home,transport,winter,oa
high-rise-flat-arthritis-frailty-lifts-uk|High-rise flats, lifts and arthritis-related frailty (UK)|Lifestyle|arthritis with frailty|several joints|high-rise flat|Wales|when the lift breaks and stairs are not realistic|home,falls,oa,aids
winter-arthritis-frailty-cold-houses-uk|Winter, cold houses, arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|home|Scotland|keeping warm without sitting still all day|winter,home,oa,exercise
heatwave-arthritis-frailty-hydration-uk|Heatwaves, arthritis and frailty (UK)|Health|arthritis with frailty|several joints|home|Northern Ireland|heat, swelling and low appetite in later life|hydration,summer,oa,fatigue
community-alarm-arthritis-frailty-uk|Community alarms when arthritis and frailty raise falls risk (UK)|Lifestyle|arthritis with frailty|several joints|home|England|pendants, base units and who gets the call|falls,home,aids,oa
podiatry-footcare-arthritis-frailty-uk|Podiatry and footcare for frail adults with arthritis (UK)|Health|foot osteoarthritis|feet|home|Wales|nails, skin and shoes when you cannot reach your feet|footcare,falls,oa,nhs
hearing-balance-arthritis-frailty-uk|Hearing, balance and arthritis in frail adults (UK)|Health|arthritis with frailty|several joints|home|Scotland|unheard warnings and extra unsteadiness|falls,cga,oa,confidence
dental-care-arthritis-frailty-hands-uk|Dental care when arthritis, frailty and sore hands collide (UK)|Health|hand osteoarthritis|hands|home|Northern Ireland|cleaning teeth and getting to the dentist|ot,home,oa,nutrition
skin-pressure-care-arthritis-frailty-uk|Skin and pressure care if arthritis keeps you sitting (UK)|Health|arthritis with frailty|several joints|home|England|skin risk when chairs become the whole day|carehome,home,oa,pacing
chair-yoga-frailty-inflammatory-arthritis-uk|Chair yoga for frailty and inflammatory arthritis (UK)|Exercise|inflammatory arthritis|several joints|community class|Wales|slow mobility without floor work|exercise,ra,fatigue,confidence
community-strength-classes-frail-oa-uk|Community strength classes for frail osteoarthritis (UK)|Exercise|osteoarthritis|several joints|community class|Scotland|finding a class that will not rush you|exercise,strength,oa,confidence
gp-frailty-register-arthritis-uk|GP frailty registers if you also live with arthritis (UK)|Health|arthritis with frailty|several joints|GP surgery|England|what being on a frailty register can mean in practice|cga,nhs,oa,polypharmacy
community-matron-arthritis-frailty-uk|Community matrons, arthritis and frailty (UK)|Health|arthritis with frailty|several joints|home|Wales|home-visiting nursing when several conditions stack up|cga,nhs,home,oa
intermediate-care-arthritis-frailty-uk|Intermediate care beds after arthritis-related deconditioning (UK)|Health|arthritis with frailty|several joints|hospital|Scotland|a stepping-stone stay before home|hospital,reablement,oa,strength
day-centres-arthritis-frailty-uk|Day centres for people with arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|day centre|Northern Ireland|company, a meal and a reason to get dressed|social,nutrition,oa,confidence
befriending-arthritis-frailty-uk|Befriending services when arthritis and frailty isolate you (UK)|Mental Health|arthritis with frailty|several joints|home|England|a regular voice when leaving the house is hard|mood,social,oa,confidence
grandparenting-arthritis-frailty-uk|Grandparenting with arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|home|Wales|floor play, school gates and energy limits|pacing,home,oa,fatigue
pets-arthritis-frailty-walking-dogs-uk|Pets, dog walking and frailty if you have arthritis (UK)|Lifestyle|arthritis with frailty|several joints|home|Scotland|keeping an animal without taking a fall|falls,home,oa,aids
faith-groups-arthritis-frailty-access-uk|Faith groups, access and arthritis-related frailty (UK)|Lifestyle|arthritis with frailty|several joints|community class|Northern Ireland|steps, seating and belonging|social,home,oa,confidence
libraries-arthritis-frailty-getting-out-uk|Libraries as a gentle outing with arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|community class|England|a seated destination with toilets and benches|social,confidence,oa,pacing
community-transport-arthritis-frailty-uk|Community transport for arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|home|Wales|getting to clinics when buses are not realistic|transport,nhs,oa,hospital
